,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck,Num,Side
0,2,0,1,39,0,0.0,0.0,0.0,0.0,0.0,False,2,0,1
1,1,0,1,24,0,109.0,9.0,25.0,549.0,44.0,True,6,0,0
2,2,0,1,58,1,43.0,3576.0,0.0,6715.0,49.0,False,1,0,0
3,2,0,1,33,0,0.0,1283.0,371.0,3329.0,193.0,False,1,0,0
4,1,0,1,16,0,303.0,70.0,151.0,565.0,2.0,True,6,1,0
5,1,0,2,44,0,0.0,483.0,0.0,291.0,0.0,True,6,0,1
6,1,0,1,26,0,42.0,1539.0,3.0,0.0,0.0,True,6,2,0
8,1,0,1,35,0,0.0,785.0,17.0,216.0,0.0,True,6,3,0
9,2,1,3,14,0,0.0,0.0,0.0,0.0,0.0,True,2,1,1
11,2,0,3,45,0,39.0,7295.0,589.0,110.0,124.0,True,2,1,1
12,3,0,1,32,0,73.0,0.0,1123.0,0.0,113.0,True,6,1,1
13,1,0,1,48,0,719.0,1.0,65.0,0.0,24.0,False,7,1,0
14,1,0,1,28,0,8.0,974.0,12.0,2.0,7.0,True,6,2,1
17,1,0,3,24,0,0.0,1.0,0.0,0.0,637.0,False,6,4,1
18,3,1,1,45,0,0.0,0.0,0.0,0.0,0.0,True,6,5,1
19,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,True,7,0,1
20,1,0,3,14,0,412.0,0.0,1.0,0.0,679.0,False,6,6,1
21,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,False,5,0,0
22,1,1,3,49,0,0.0,0.0,0.0,0.0,0.0,False,5,0,0
24,1,0,1,10,0,0.0,0.0,0.0,0.0,0.0,True,5,0,0
26,1,0,1,7,0,0.0,0.0,0.0,0.0,0.0,False,5,0,0
29,1,0,1,15,0,0.0,225.0,0.0,998.0,0.0,False,6,6,0
30,2,0,3,34,0,22.0,6073.0,0.0,1438.0,328.0,False,3,0,1
31,3,0,1,43,0,1125.0,0.0,136.0,48.0,0.0,False,6,8,1
32,1,0,1,32,0,0.0,850.0,81.0,437.0,453.0,False,7,4,0
33,3,0,1,47,0,214.0,0.0,1411.0,0.0,1229.0,True,6,9,1
34,3,0,1,2,0,0.0,0.0,0.0,0.0,0.0,True,6,9,1
36,2,1,3,28,0,0.0,0.0,0.0,0.0,0.0,True,4,1,0
37,3,0,3,23,0,784.0,964.0,0.0,951.0,0.0,False,4,1,1
