,Formula,Crystal structure,Hardness (Mohs),allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average
0,MnTeMoO6,tetragonal,4.5,167.0,23.907992,18.555555555555557,5.0,41.609136,11.693844444444444,2.938888888888889,1.7111111111111112,0.8844444444444445,0.47783000000000003,2.656443555555556
1,MgH2,tetragonal,4.0,14.0,1.7401674999999999,4.666666666666667,1.3333333333333333,8.773226666666666,11.614333333333335,1.903333333333333,1.31,0.68,0.82599,0.5800558333333333
2,CO(NH2)2C4H6O5,monoclinic,2.5,102.0,8.5111595,4.434782608695652,3.3043478260869565,8.440584347826087,13.176621739130434,2.672608695652174,1.3791304347826083,0.5308695652173914,0.7138495652173915,0.37005041304347824
3,GaPO4,trigonal,5.5,78.0,8.109328,13.0,5.333333333333333,27.448813666333326,11.8264,2.9599999999999995,1.625,0.8133333333333335,0.4881633333333333,1.351554666666667
4,Ga3PO7,trigonal,6.5,164.0,19.921324,14.909090909090908,5.090909090909091,32.01236109072727,11.255572727272728,2.8818181818181814,1.6409090909090909,0.8418181818181819,0.48348,1.8110294545454544
5,LiB3O5,orthorhombic,6.5,58.0,7.65066,6.4444444444444455,4.4444444444444455,13.261238888888887,10.930688888888891,2.7,1.6866666666666663,0.78,0.4799622222222223,0.8500733333333333
6,BiB3O6,monoclinic,5.75,146.0,16.864992,14.6,5.0,33.739258,11.38881,2.866,1.6950000000000005,0.7859999999999999,0.478464,1.6864991999999999
7,K2Al2B2O7,trigonal,6.0,130.0,11.871324000000001,10.0,4.307692307692308,20.44345284615385,10.198130769230767,2.54,1.82,0.9723076923076924,0.4892738461538461,0.9131787692307692
8,Nd0.02GdLa0.16Ca4O(BO3)3,monoclinic,6.42,249.32,22.34596,13.713971397139714,4.365236523652365,29.432344070407037,10.598482068206822,2.5257865786578657,1.813894389438944,0.9927392739273928,0.4876037073707372,1.2291507150715073
9,Nd0.02GdLa0.33Ca4O(BO3)3,monoclinic,6.35,259.01,23.392140000000005,14.114986376021795,4.343324250681198,30.446536517711174,10.55196059945504,2.512577656675749,1.8196021798365123,1.0015149863760218,0.4868880054495913,1.2747760217983652
10,YVO4,tetragonal,5.0,94.0,10.584328,15.666666666666664,4.666666666666667,33.97391,11.239316666666667,2.768333333333333,1.745,0.96,0.4817083333333334,1.7640546666666668
11,LiNbO3,rhomohedral,5.0,68.0,9.107996000000002,13.6,4.0,29.568292,10.600980000000002,2.58,1.7120000000000002,0.956,0.474714,1.8215992000000003
12,Na3Ba2(B3O6)2F,hexagonal,4.5,280.0,24.150564000000003,11.666666666666664,4.333333333333333,25.810252958458328,10.686195833333334,2.58625,1.8083333333333336,0.9266666666666667,0.4791520833333334,1.0062735
13,NdCa4O(BO3)3,monoclinic,5.4,235.0,20.22332,13.055555555555555,4.388888888888889,27.609016666666676,10.614044444444446,2.536666666666666,1.810555555555556,0.9866666666666666,0.4888688888888889,1.1235177777777778
14,LuAl3(BO3)4,trigonal,8.1,226.0,27.432984,11.3,4.75,24.556188775,10.999625,2.7635,1.6840000000000002,0.825,0.485063,1.3716491999999998
15,BaWF8,,3.0,202.0,22.81264,20.2,6.0,47.3154225304,15.24581,3.443,1.662,0.836,0.460005,2.2812639999999997
16,Na5B2PeO13,monoclinic,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Nd0.02Sr2La0.667(VO4)2,hexagonal,5.0,225.21900000000002,21.553373999999998,17.751950815795695,4.522266887365019,39.461655906833755,10.8502634428943,2.63549302435564,1.80882872231418,1.0350421691495229,0.4770680893828328,1.6988550484748166
18,Cr0.02CaGdAlO4,tetragonal,6.0,129.48000000000002,12.297928,18.44444444444445,4.418803418803419,41.21731915954416,10.378423076923076,2.5075783475783484,1.7964672364672365,1.0521367521367524,0.4839232763532764,1.7518415954415956
19,Y0.57La0.72Sc2.71(BO3)4,trigonal,6.5,236.18,24.574384,11.809,4.6,25.386556894,11.0975047,2.73065,1.740925,0.8874449999999999,0.483071455,1.2287192
20,YCa9(VO4)7,rhomohedral,4.5,604.0,61.22629600000001,13.422222222222222,4.488888888888889,27.870470666666666,10.883695555555557,2.6211111111111114,1.7813333333333332,1.0093333333333334,0.4909111111111111,1.3605843555555557
21,Zn3BPO7,hexagonal,5.0,166.0,25.978324,13.833333333333336,4.666666666666667,29.159414333166666,11.857833333333335,2.7716666666666665,1.6991666666666667,0.8341666666666666,0.48527,2.164860333333333
22,Nd0.02BaLaLiWO6,cubic,5.5,239.2,29.633992000000006,23.87225548902196,4.295409181636726,56.475997005988035,10.565209580838324,2.5282235528942114,1.824131736526946,1.06562874251497,0.4651985429141717,2.9574842315369265
23,Nd0.02YCa9(VO4)7,trigonal,4.5,605.2,61.36429600000001,13.442914260328743,4.48778320746335,27.922168369613512,10.881314971123944,2.62045313194136,1.7816037316748117,1.0097201243891605,0.4908778187472234,1.3630452243447357
24,Nd30.02NaGd(MoO4)2,tetragonal,4.7,2024.2,236.459656,48.17229890528321,2.6901475487862925,114.95185267206095,7.146097096620657,1.6228653022370303,2.2098476915754404,1.6158400761542124,0.43428318419800105,5.627312137077583
25,La2CaB10O19,monoclinic,6.5,336.0,37.58330800000001,10.5,4.6875,22.8103284375,11.218465625,2.78,1.7265625,0.818125,0.4826440625,1.1744783750000003
26,BaNaB9O15,trigonal,6.0,232.0,25.82098,8.923076923076922,4.615384615384615,19.136777664615387,11.12708846153846,2.76076923076923,1.731923076923077,0.8007692307692308,0.4826388461538462,0.9931146153846154
27,BaBPO5,trigonal,6.5,116.0,8.07666,14.5,5.0,32.38773899975,11.510862500000002,2.79,1.75,0.89875,0.48182749999999996,1.0095825
28,Y3Al5O12,cubic,8.5,278.0,26.917984,13.9,4.65,29.680678624999995,10.599905,2.6495,1.7200000000000002,0.958,0.4862650000000001,1.3458992
29,Nd0.02Ca9Gd(VO4)7,hexagonal,4.0,630.2,64.79529600000001,13.998223011994671,4.48778320746335,29.440252776543762,10.879815637494447,2.620008884940027,1.7820479786761443,1.0110528653931588,0.4901741314971125,1.4392557974233675
30,BaCaBO3F,hexagonal,5.0,114.0,7.425575999999999,16.285714285714285,4.571428571428571,36.45807045185715,11.12857142857143,2.6042857142857145,1.8485714285714288,1.022857142857143,0.4775785714285714,1.0607965714285714
31,MgAl2O4,cubic,8.0,70.0,7.1433279999999995,10.0,4.571428571428571,20.323313857142857,10.584314285714287,2.6128571428571425,1.6414285714285717,0.92,0.4939185714285714,1.0204754285714286
32,Zn3Nb2O8,tetragonal,5.5,236.0,38.549656,18.153846153846157,4.307692307692308,39.22653692307692,11.588092307692307,2.743846153846154,1.734615384615385,0.9107692307692308,0.4814715384615385,2.9653581538461538
33,Ba3(VO4)2),hexagonal,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
