carat,cut,color,clarity,depth,table,x,y,z,price
0.8,Ideal,F,VS1,62.4,55.0,5.92,5.88,3.68,3884
0.91,Premium,F,SI2,61.4,60.0,6.23,6.21,3.82,3618
1.28,Premium,I,VS2,61.7,60.0,7.05,6.95,4.32,6762
0.41,Very Good,F,SI1,61.9,55.0,4.78,4.81,2.97,769
1.07,Premium,F,SI2,61.8,59.0,6.53,6.57,4.05,4560
0.51,Ideal,G,VS1,61.0,55.0,5.21,5.11,3.15,1781
0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1576
0.38,Premium,G,VS1,61.0,58.0,4.71,4.67,2.86,1069
1.0,Premium,G,SI2,61.8,60.0,6.37,6.34,3.93,4284
0.9,Very Good,D,SI1,62.5,59.0,6.13,6.19,3.85,4466
0.5,Premium,G,VS2,59.4,60.0,5.14,5.16,3.06,1354
1.64,Ideal,E,SI1,60.7,55.0,7.67,7.64,4.65,9801
0.9,Good,G,SI1,64.2,58.0,6.04,6.01,3.87,3250
0.4,Ideal,H,VVS1,62.2,55.0,4.75,4.7,2.94,1088
0.75,Ideal,D,SI1,62.3,55.0,5.83,5.8,3.62,2898
0.85,Ideal,G,SI1,62.1,56.0,6.05,6.1,3.77,3766
0.51,Ideal,D,VS2,61.7,55.0,5.11,5.14,3.16,1787
1.21,Ideal,H,SI2,62.1,55.0,6.87,6.82,4.25,5692
0.35,Premium,H,VVS1,59.9,59.0,4.61,4.57,2.75,1024
0.31,Good,I,VS1,63.9,56.0,4.3,4.28,2.74,628
0.55,Very Good,E,VS2,61.0,59.0,5.31,5.34,2.25,1831
0.51,Premium,G,VVS2,61.7,58.0,5.18,5.13,3.18,1974
0.52,Ideal,F,VS1,62.3,55.0,5.21,5.16,3.23,1872
0.3,Very Good,E,VS1,63.6,54.0,4.28,4.33,2.74,620
0.5,Premium,E,SI1,59.3,59.0,5.19,5.24,3.09,1410
0.72,Premium,D,SI1,62.6,59.0,5.74,5.7,3.58,2732
0.35,Premium,F,VS2,60.4,59.0,4.57,4.54,2.75,879
0.39,Ideal,F,VS1,62.5,57.0,4.66,4.69,2.92,895
0.51,Good,D,VVS2,63.1,58.0,5.07,5.1,3.21,2174
0.71,Very Good,F,SI2,60.5,62.0,5.75,5.79,3.49,2138
0.71,Ideal,H,VS1,60.8,57.0,5.74,5.79,3.51,3229
0.3,Premium,F,VS2,61.4,55.0,4.37,4.32,2.67,673
0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,886
0.41,Very Good,G,SI1,62.8,58.0,4.72,4.74,2.97,671
1.51,Very Good,F,VVS1,62.6,59.0,7.33,7.24,4.56,18777
0.82,Ideal,F,SI1,61.1,56.0,6.06,6.08,3.71,3428
0.92,Very Good,E,VS1,60.9,61.0,6.22,6.25,3.8,5453
1.77,Premium,J,SI2,62.0,55.0,7.84,7.72,4.82,8840
0.3,Very Good,E,SI2,58.8,60.0,4.39,4.42,2.59,393
0.41,Ideal,E,VS2,61.8,56.0,4.78,4.74,2.94,999
0.34,Premium,F,VS2,61.2,59.0,4.52,4.47,2.75,880
0.5,Premium,G,SI2,60.7,57.0,5.15,5.07,3.1,978
1.17,Ideal,F,VS2,61.8,55.0,6.74,6.81,4.19,7927
1.55,Very Good,E,SI1,60.1,58.0,7.5,7.55,4.52,11764
2.23,Premium,J,SI1,62.4,59.0,8.36,8.33,5.21,14258
0.38,Premium,E,SI2,59.9,56.0,4.79,4.72,2.85,596
1.0,Ideal,I,SI1,61.5,57.0,6.39,6.43,3.94,4649
0.52,Ideal,F,VS2,61.3,56.0,5.14,5.2,3.17,1451
0.42,Ideal,H,IF,61.9,56.0,4.81,4.79,2.97,1273
0.23,Very Good,F,VVS2,61.3,60.0,3.98,4.01,2.45,465
1.57,Premium,H,VS2,62.2,58.0,7.45,7.4,4.62,11415
0.73,Fair,F,VS1,58.6,66.0,5.92,5.88,3.46,3002
1.08,Very Good,F,SI1,61.3,57.0,6.62,6.6,4.05,4816
1.14,Very Good,I,SI1,62.6,55.0,6.66,6.72,4.19,4840
0.9,Very Good,D,SI1,60.4,59.0,6.21,6.24,3.76,4846
0.35,Ideal,H,IF,60.8,56.0,4.61,4.63,2.81,931
0.3,Ideal,D,SI1,61.8,56.0,4.31,4.33,2.67,508
0.38,Very Good,E,SI1,62.8,58.0,4.6,4.63,2.9,701
0.32,Premium,G,VS2,62.5,60.0,4.32,4.38,2.72,561
0.34,Premium,E,VVS1,61.7,58.0,4.48,4.43,2.75,1084
1.51,Good,I,VVS1,64.0,60.0,7.21,7.26,4.63,9301
0.31,Premium,I,VS2,60.8,60.0,4.42,4.37,2.67,558
1.1,Very Good,H,SI1,62.1,58.0,6.59,6.61,4.1,4276
0.39,Ideal,F,SI1,61.3,56.0,4.69,4.72,2.88,919
0.74,Ideal,I,SI1,61.3,56.0,5.82,5.86,3.57,2769
0.35,Premium,D,VS2,60.4,58.0,4.58,4.53,2.75,1063
1.01,Ideal,I,SI1,62.4,56.0,6.36,6.4,3.98,4584
0.32,Premium,H,SI1,60.9,60.0,4.4,4.43,2.69,461
0.7,Premium,J,VVS2,60.6,58.0,5.73,5.82,3.5,1764
1.01,Very Good,F,SI2,61.8,56.0,6.43,6.38,3.96,4298
1.51,Premium,I,SI2,58.7,59.0,7.53,7.49,4.41,7292
1.01,Very Good,D,SI2,62.0,57.0,6.41,6.46,3.99,5656
0.74,Ideal,G,VS1,61.8,55.0,5.85,5.8,3.6,2960
0.57,Ideal,E,VS2,61.9,57.0,5.29,5.31,3.28,1851
0.3,Premium,H,VVS2,61.5,58.0,4.3,4.28,2.64,776
0.43,Ideal,H,SI1,62.4,56.0,4.81,4.83,3.01,716
0.4,Very Good,H,VS2,59.1,61.0,4.81,4.84,2.85,737
1.21,Very Good,H,SI1,59.6,60.0,6.93,6.94,4.13,7203
1.15,Ideal,G,SI2,62.8,57.0,6.7,6.65,4.19,3613
0.3,Very Good,G,VS1,63.1,58.0,4.28,4.24,2.69,776
