,0_pre-RR,0_post-RR,0_pPeak,0_tPeak,0_rPeak,0_sPeak,0_qPeak,0_qrs_interval,0_pq_interval,0_qt_interval,0_qrs_morph4,1_pPeak,1_tPeak,1_rPeak,1_sPeak,1_qPeak,1_qrs_interval,1_pq_interval,1_qt_interval,1_st_interval
12480,314,315.0,0.2736923168850843,0.2223846698025648,0.4988125594904849,-0.4390164527782756,0.0395642204210444,22,7,94,-0.2491328982090743,0.0586583688343891,0.6487817652979375,-0.2323065639984566,-0.2323065639984566,-0.734710178128522,9,23,54,22
7628,196,181.0,0.1450123589260675,1.0463998825213678,1.0100235151686232,1.0100235151686232,0.1376305809412014,21,4,27,0.7831273117214713,-0.0229752677020179,0.6874394350893205,-0.766045311162034,-0.8280082075838047,-0.766045311162034,4,30,68,34
22342,231,227.0,-0.1206792501554838,-0.3464024149806701,1.1362730606368756,-0.6061188365199713,-0.1282077631643138,24,3,34,-0.0322669909566284,-0.0287089468849365,0.4678169964719176,-0.0478057879933157,-0.0478057879933157,-0.0617985941265613,3,8,20,9
15992,168,226.0,0.0383368989967186,1.993750543255692,-0.1448107451335722,-0.3825321489760384,-0.1448107451335722,5,6,28,-0.3674589589580079,0.1280731554601742,2.375595094304249,0.2981980548077976,-3.0264416997979544,-0.1251165324052805,21,13,73,39
1593,271,285.0,-0.0566562506221289,0.4276256562766194,1.290166854855347,-1.3226404065016346,-0.0811393202020298,39,6,149,-0.525098336973256,0.0998232541302736,0.5846680700806604,-0.7859996988663632,-0.952911190192854,-0.7859996988663632,3,13,54,38
2201,310,308.0,0.0035206060579002,0.4086665823568463,0.2581040971323021,0.2154797185910745,-0.0029065703595017,24,6,36,0.2581040971323021,-0.0273641968196305,1.479790439446886,1.469406343753807,1.469406343753807,-0.0338677459215871,20,3,24,1
4383,106,386.0,0.2445475616265296,0.3612638118581976,1.8177199430259887,-1.226147588491372,0.2022844939263732,26,4,140,-0.3350321592343316,0.2715266575252664,-0.0772550380216459,0.6672163570188003,-0.3396913950028561,-0.4299606181453504,23,8,44,13
700,180,465.0,0.437400357122534,-1.0454831455360722,1.669758094990553,-1.633742692232923,-0.3468309775875417,59,40,109,1.6003021727551912,-0.0034014281587809,0.3115228733323433,0.4023829217164513,0.0510541958674718,-0.01395104318638,39,12,58,7
18264,265,154.0,0.0552240297821782,-0.2947859633479401,0.9524947691630892,-0.4760738585479115,0.0199889683548656,31,6,45,0.5581524143055558,-0.0049636984406889,0.2073306878457727,-0.1745738326739951,-0.2420735972812088,-0.1745738326739951,4,12,26,10
17874,177,271.0,0.0255836326511597,-0.2812157419141543,0.9162833297105184,-0.4183153762202436,0.0237944085140244,56,3,67,0.4689477686338596,0.0618983555319621,0.6957059647170304,-0.6201656761533679,-0.777755116897276,-0.6201656761533679,5,13,57,39
15626,219,218.0,0.1778551858377327,1.0265018194880675,0.9907002227147516,0.9907002227147516,-0.1184119303631521,33,15,49,0.1436546216257203,0.0132057418309007,0.6286760450791007,-0.0351950020474217,-0.0351950020474217,-0.0351950020474217,0,18,30,12
10755,176,314.0,0.1262961701049889,0.1403102477430454,0.6118909620954777,-0.8233323469342501,0.0671675987275823,26,8,58,-0.3496120533720065,-0.1461227484344208,0.5264722407080427,-0.3373305335346199,-0.8496509052711639,-0.3373305335346199,7,6,50,37
18008,164,339.0,0.1175941519571275,-0.3570339914610273,0.9702731967145464,-0.5592819645359983,-0.0567222556013765,61,28,96,0.5793372961237169,0.1320779159310121,0.719299944248644,-0.6272579035452049,-0.7604657072921257,-0.6272579035452049,5,15,57,37
11709,315,308.0,-0.0022118067638142,-0.2596750277680097,1.670258192693397,-0.7411904859934358,-0.0701416386024936,22,8,38,0.1897876980086361,0.0601043092244985,1.037252447408786,1.0042838969276895,1.0042838969276895,0.0474933804416717,12,8,21,1
